SOURCE,TARGET,TYPE,IS_GENE_GENE
SARS-CoV2,E,CWC27,Gene->Gene
CWC27,13DAMPPOX,Gene->Reaction,
CWC27,42A12BOOX,Gene->Reaction,
CWC27,HISTASE,Gene->Reaction,
CWC27,MAOX,Gene->Reaction,
CWC27,MHISOR,Gene->Reaction,
CWC27,NMPTRCOX,Gene->Reaction,
CWC27,PEAMNO,Gene->Reaction,
CWC27,PTRCOX1,Gene->Reaction,
CWC27,TRYPTAOX,Gene->Reaction,
SARS-CoV2,M,ATP1B1,Gene->Gene
ATP1B1,2AMADPTm,Gene->Reaction,
ATP1B1,2OXOADPTm,Gene->Reaction,
ATP1B1,r0879,Gene->Reaction,
SARS-CoV2,M,ACADM,Gene->Gene
ACADM,2HBO,Gene->Reaction,
ACADM,HPYRR2x,Gene->Reaction,
ACADM,MCLOR,Gene->Reaction,
ACADM,GLXO1,Gene->Reaction,
ACADM,LDH_L,Gene->Reaction,
ACADM,2H3MVc,Gene->Reaction,
ACADM,2HIVc,Gene->Reaction,
SARS-CoV2,M,ETFA,Gene->Gene
ETFA,2HBO,Gene->Reaction,
ETFA,HPYRR2x,Gene->Reaction,
ETFA,MCLOR,Gene->Reaction,
ETFA,GLXO1,Gene->Reaction,
ETFA,LDH_L,Gene->Reaction,
ETFA,2H3MVc,Gene->Reaction,
ETFA,2HIVc,Gene->Reaction,
SARS-CoV2,M,ATP6V1A,Gene->Gene
ATP6V1A,2HBO,Gene->Reaction,
ATP6V1A,HPYRR2x,Gene->Reaction,
ATP6V1A,LDH_Lm,Gene->Reaction,
ATP6V1A,MCLOR,Gene->Reaction,
ATP6V1A,r0173,Gene->Reaction,
ATP6V1A,GLXO1,Gene->Reaction,
ATP6V1A,LDH_L,Gene->Reaction,
ATP6V1A,2H3MVc,Gene->Reaction,
ATP6V1A,2HIVc,Gene->Reaction,
SARS-CoV2,M,PMPCA,Gene->Gene
PMPCA,2HBt2,Gene->Reaction,
PMPCA,ACETONEt2,Gene->Reaction,
PMPCA,D_LACt2,Gene->Reaction,
PMPCA,L_LACt2r,Gene->Reaction,
PMPCA,PYRt2r,Gene->Reaction,
PMPCA,PHPYRte,Gene->Reaction,
SARS-CoV2,M,SLC30A7,Gene->Gene
SLC30A7,2HCO3_NAt,Gene->Reaction,
SLC30A7,3HCO3_NAt,Gene->Reaction,
SARS-CoV2,M,SLC25A21,Gene->Gene
SLC25A21,2OXOADOXm,Gene->Reaction,
SLC25A21,AKGDm,Gene->Reaction,
SLC25A21,r0556,Gene->Reaction,
SLC25A21,r0557,Gene->Reaction,
SARS-CoV2,M,TARS2,Gene->Gene
TARS2,34DHOXPEGOX,Gene->Reaction,
TARS2,ALCD21_D,Gene->Reaction,
TARS2,ALCD21_L,Gene->Reaction,
TARS2,ALCD22_D,Gene->Reaction,
TARS2,ALCD22_L,Gene->Reaction,
TARS2,ALCD2if,Gene->Reaction,
TARS2,r0739,Gene->Reaction,
TARS2,ALCD1,Gene->Reaction,
TARS2,HMR_1129,Gene->Reaction,
TARS2,HMR_6633,Gene->Reaction,
TARS2,HMR_7038,Gene->Reaction,
SARS-CoV2,M,AASS,Gene->Gene
AASS,34DHOXPEGOX,Gene->Reaction,
AASS,ALCD21_D,Gene->Reaction,
AASS,ALCD21_L,Gene->Reaction,
AASS,ALCD22_D,Gene->Reaction,
AASS,ALCD22_L,Gene->Reaction,
AASS,ALCD2if,Gene->Reaction,
AASS,r0739,Gene->Reaction,
AASS,ALCD1,Gene->Reaction,
AASS,HMR_1129,Gene->Reaction,
AASS,HMR_6633,Gene->Reaction,
AASS,HMR_7038,Gene->Reaction,
SARS-CoV2,N,CSNK2A2,Gene->Gene
CSNK2A2,34DHPHAMT,Gene->Reaction,
CSNK2A2,DOPAMT,Gene->Reaction,
CSNK2A2,SALMCOM,Gene->Reaction,
SARS-CoV2,N,CSNK2B,Gene->Gene
CSNK2B,34DHPHEt,Gene->Reaction,
CSNK2B,PHEtec,Gene->Reaction,
CSNK2B,TYRt,Gene->Reaction,
CSNK2B,TRPt,Gene->Reaction,
SARS-CoV2,nsp1,POLA1,Gene->Gene
POLA1,3HLYTCL,Gene->Reaction,
POLA1,3HXKYNDCL,Gene->Reaction,
POLA1,5HLTDL,Gene->Reaction,
POLA1,5HXKYNDCL,Gene->Reaction,
POLA1,HISDC,Gene->Reaction,
POLA1,LTDCL,Gene->Reaction,
POLA1,PHYCBOXL,Gene->Reaction,
POLA1,TYRCBOX,Gene->Reaction,
SARS-CoV2,nsp1,POLA2,Gene->Gene
POLA2,3HXKYNOXDA,Gene->Reaction,
POLA2,3MOXTYROX,Gene->Reaction,
POLA2,41R1H2MAE12BOOX,Gene->Reaction,
POLA2,41R2A1H12BOOX,Gene->Reaction,
POLA2,42A12BOOX,Gene->Reaction,
POLA2,5HOXINOXDA,Gene->Reaction,
POLA2,5HXKYNOXDA,Gene->Reaction,
POLA2,APRTO2,Gene->Reaction,
POLA2,MAOLNOR,Gene->Reaction,
POLA2,PEAMNO,Gene->Reaction,
POLA2,TRYPTAOX,Gene->Reaction,
POLA2,TYROXDAc,Gene->Reaction,
POLA2,HMR_6747,Gene->Reaction,
SARS-CoV2,nsp1,COLGALT1,Gene->Gene
COLGALT1,3HXKYNOXDA,Gene->Reaction,
COLGALT1,3MOXTYROX,Gene->Reaction,
COLGALT1,41R1H2MAE12BOOX,Gene->Reaction,
COLGALT1,41R2A1H12BOOX,Gene->Reaction,
COLGALT1,42A12BOOX,Gene->Reaction,
COLGALT1,5HOXINOXDA,Gene->Reaction,
